movie,sentence,movie_duration,start,end,imdb,lsmdc_filename,start_hms,end_hms
1005_Signs,"A set of swings and a climbing frame stand in a rural backyard, along with a picnic table and a brick barbecue.",6391.2,126.568,130.799,tt0286106,1005_Signs_00.02.06.568-00.02.10.799,00.02.06.568,00.02.10.799
1005_Signs,An upstairs window looks out over the scene.,6391.2,133.011,138.202,tt0286106,1005_Signs_00.02.13.011-00.02.18.202,00.02.13.011,00.02.18.202
1005_Signs,Inside a framed photo on a bedside table shows a smiling family.,6391.2,138.402,139.332,tt0286106,1005_Signs_00.02.18.402-00.02.19.332,00.02.18.402,00.02.19.332
1005_Signs,"Mum, dad, and a young boy and girl.",6391.2,139.333,140.071,tt0286106,1005_Signs_00.02.19.333-00.02.20.071,00.02.19.333,00.02.20.071
1005_Signs,The dad wears a clerical collar.,6391.2,140.071,142.027,tt0286106,1005_Signs_00.02.20.071-00.02.22.027,00.02.20.071,00.02.22.027
1005_Signs,"Suddenly, the same man leans up on his elbows in bed.",6391.2,142.111,144.104,tt0286106,1005_Signs_00.02.22.111-00.02.24.104,00.02.22.111,00.02.24.104
1005_Signs,His eyes darting feverishly around the simply furnished room.,6391.2,144.104,148.433,tt0286106,1005_Signs_00.02.24.104-00.02.28.433,00.02.24.104,00.02.28.433
1005_Signs,Graham relaxes and sits up.,6391.2,149.97,152.75,tt0286106,1005_Signs_00.02.29.970-00.02.32.750,00.02.29.970,00.02.32.750
1005_Signs,"The man, Graham Hess comes out of his bedroom wearing a black t-shirt and pajama bottoms.",6391.2,153.383,155.781,tt0286106,1005_Signs_00.02.33.383-00.02.35.781,00.02.33.383,00.02.35.781
1005_Signs,Graham walks along the landing in his bare feet and comes to a closed door with some hand drawn children's pictures stuck to it.,6391.2,155.781,161.898,tt0286106,1005_Signs_00.02.35.781-00.02.41.898,00.02.35.781,00.02.41.898
1005_Signs,Graham pauses for a moment to listen at the door.,6391.2,161.898,168.294,tt0286106,1005_Signs_00.02.41.898-00.02.48.294,00.02.41.898,00.02.48.294
1005_Signs,"Then, returns to his bedroom, picking up some discarded socks on the way.",6391.2,168.331,172.718,tt0286106,1005_Signs_00.02.48.331-00.02.52.718,00.02.48.331,00.02.52.718
1005_Signs,Graham is in his mid-40s with short dark hair and a rugged handsome face.,6391.2,172.718,173.885,tt0286106,1005_Signs_00.02.52.718-00.02.53.885,00.02.52.718,00.02.53.885
1005_Signs,"Graham crosses the bathroom and stares out of the door, his toothbrush in his mouth.",6391.2,181.29,183.503,tt0286106,1005_Signs_00.03.01.290-00.03.03.503,00.03.01.290,00.03.03.503
1005_Signs,"Graham strides across the landing, opens the door to the children's room and glances around.",6391.2,183.503,189.466,tt0286106,1005_Signs_00.03.03.503-00.03.09.466,00.03.03.503,00.03.09.466
1005_Signs,"A younger man in a similar rural style bedroom, suddenly, jolts and tumbles out of bed.",6391.2,189.528,190.613,tt0286106,1005_Signs_00.03.09.528-00.03.10.613,00.03.09.528,00.03.10.613
1005_Signs,Merrill jumps to his feet and strains to listen.,6391.2,191.113,194.827,tt0286106,1005_Signs_00.03.11.113-00.03.14.827,00.03.11.113,00.03.14.827
1005_Signs,"Graham rushes out of his wooden farmhouse and heads towards a whitewashed barn, while the younger man runs down a flight of steps from the other floor.",6391.2,194.896,204.719,tt0286106,1005_Signs_00.03.14.896-00.03.24.719,00.03.14.896,00.03.24.719
1005_Signs,"Graham and the young man, Merrill charge through a field of tall green maize.",6391.2,210.662,217.166,tt0286106,1005_Signs_00.03.30.662-00.03.37.166,00.03.30.662,00.03.37.166
1005_Signs,They stop when they reach a gap.,6391.2,222.733,225.1,tt0286106,1005_Signs_00.03.42.733-00.03.45.100,00.03.42.733,00.03.45.100
1005_Signs,"And look along a clear pathway, which cuts through the crop.",6391.2,225.1,227.561,tt0286106,1005_Signs_00.03.45.100-00.03.47.561,00.03.45.100,00.03.47.561
1005_Signs,A dark haired girl of about six-years-old stands a little further down the path.,6391.2,227.561,229.333,tt0286106,1005_Signs_00.03.47.561-00.03.49.333,00.03.47.561,00.03.49.333
1005_Signs,"The two men run over to her, and Graham grabs her by the arms.",6391.2,229.333,234.215,tt0286106,1005_Signs_00.03.49.333-00.03.54.215,00.03.49.333,00.03.54.215
1005_Signs,Merrill picks up Bo and Graham dashes on through the maize.,6391.2,241.65,245.45,tt0286106,1005_Signs_00.04.01.650-00.04.05.450,00.04.01.650,00.04.05.450
1005_Signs,"Graham reaches a fair haired boy of about 10, who stares glassily across the field.",6391.2,245.45,248.591,tt0286106,1005_Signs_00.04.05.450-00.04.08.591,00.04.05.450,00.04.08.591
1005_Signs,Graham turns Morgan head to face him.,6391.2,253.923,255.981,tt0286106,1005_Signs_00.04.13.923-00.04.15.981,00.04.13.923,00.04.15.981
1005_Signs,"Morgan puts his hand around his father's jaw, and turns his head to face in the direction Morgan had been staring.",6391.2,263.624,268.291,tt0286106,1005_Signs_00.04.23.624-00.04.28.291,00.04.23.624,00.04.28.291
1005_Signs,"Graham stands and slowly walks through the maize, followed by Merrill who's still carrying Bo in his arms.",6391.2,268.3,278.017,tt0286106,1005_Signs_00.04.28.300-00.04.38.017,00.04.28.300,00.04.38.017
1005_Signs,Graham stops and glances around anxiously.,6391.2,278.611,283.065,tt0286106,1005_Signs_00.04.38.611-00.04.43.065,00.04.38.611,00.04.43.065
1005_Signs,Graham swallows hard and tentatively steps forward onto a sea of flattened maize stalks.,6391.2,283.065,297.387,tt0286106,1005_Signs_00.04.43.065-00.04.57.387,00.04.43.065,00.04.57.387
1005_Signs,Graham stares in wonder as Graham Merrill Morgan and Bo come to the perimeter of a vast circular expanse of flattened maize.,6391.2,297.387,298.112,tt0286106,1005_Signs_00.04.57.387-00.04.58.112,00.04.57.387,00.04.58.112
