text,start,end,imdbid,imdbid_pe,season,episode,scaled_end,scaled_start,duration,tvad_name,tvad_index,bboxes,pred_ids
His umbrella springs open between them.,240.25,242.112,tt0108778,tt0583459,1,1,242.181,240.181,2.0,friends_s01e01_seg02_clip_04,"[9, 9, 10, 10, 11, 11, 12, 12, 12, 13, 13, 14, 14, 15, 15, 15]","[[[372, 214, 437, 260], [187, 104, 226, 163], [22, 168, 47, 196], [313, 176, 347, 225]], [[372, 214, 437, 260], [187, 104, 226, 163], [22, 168, 47, 196], [313, 176, 347, 225]], [[263, 264, 297, 313], [183, 109, 220, 168], [367, 172, 419, 217], [272, 240, 288, 260]], [[263, 264, 297, 313], [183, 109, 220, 168], [367, 172, 419, 217], [272, 240, 288, 260]], [[263, 272, 297, 320], [368, 123, 413, 185], [175, 115, 214, 170], [225, 243, 242, 267], [276, 240, 294, 263], [176, 265, 213, 311]], [[263, 272, 297, 320], [368, 123, 413, 185], [175, 115, 214, 170], [225, 243, 242, 267], [276, 240, 294, 263], [176, 265, 213, 311]], [[270, 274, 304, 321], [424, 97, 476, 157], [167, 117, 206, 171], [283, 243, 299, 263], [231, 245, 248, 269]], [[270, 274, 304, 321], [424, 97, 476, 157], [167, 117, 206, 171], [283, 243, 299, 263], [231, 245, 248, 269]], [[270, 274, 304, 321], [424, 97, 476, 157], [167, 117, 206, 171], [283, 243, 299, 263], [231, 245, 248, 269]], [[274, 271, 308, 318], [160, 122, 197, 173], [286, 247, 300, 263], [235, 249, 251, 270], [35, 165, 61, 195]], [[274, 271, 308, 318], [160, 122, 197, 173], [286, 247, 300, 263], [235, 249, 251, 270], [35, 165, 61, 195]], [[285, 274, 318, 322], [461, 231, 487, 264], [157, 117, 196, 171], [44, 157, 68, 188]], [[285, 274, 318, 322], [461, 231, 487, 264], [157, 117, 196, 171], [44, 157, 68, 188]], [[462, 230, 488, 263], [281, 277, 316, 324], [160, 128, 199, 179], [42, 154, 65, 185], [291, 246, 306, 264]], [[462, 230, 488, 263], [281, 277, 316, 324], [160, 128, 199, 179], [42, 154, 65, 185], [291, 246, 306, 264]], [[462, 230, 488, 263], [281, 277, 316, 324], [160, 128, 199, 179], [42, 154, 65, 185], [291, 246, 306, 264]]]","{'nm0001435': [(4, 0), (5, 0), (11, 0), (12, 0), (13, 1), (14, 1), (15, 1)], 'nm0000098': [(4, 2), (5, 2), (6, 2), (7, 2), (8, 2), (9, 1), (10, 1), (11, 2), (12, 2), (13, 2), (14, 2), (15, 2)]}"
"He awkwardly sits down, and Joey pats his shoulder.",242.653,245.358,tt0108778,tt0583459,1,1,245.358,242.653,2.705,friends_s01e01_seg02_clip_04,"[17, 17, 18, 19, 19, 20, 20, 21, 21, 22, 23, 23, 24, 24, 25, 26]","[[[257, 263, 304, 322], [503, 267, 545, 319], [23, 151, 44, 177]], [[257, 263, 304, 322], [503, 267, 545, 319], [23, 151, 44, 177]], [[262, 259, 312, 317], [493, 256, 541, 313], [423, 19, 443, 44]], [[258, 249, 304, 308], [475, 264, 517, 317]], [[258, 249, 304, 308], [475, 264, 517, 317]], [[262, 253, 305, 309], [476, 271, 516, 322]], [[262, 253, 305, 309], [476, 271, 516, 322]], [[277, 265, 321, 318], [495, 269, 541, 317], [143, 69, 189, 130]], [[277, 265, 321, 318], [495, 269, 541, 317], [143, 69, 189, 130]], [[299, 263, 342, 315], [180, 85, 223, 146], [530, 280, 572, 325], [478, 20, 499, 45]], [[199, 85, 249, 144], [318, 269, 363, 316]], [[199, 85, 249, 144], [318, 269, 363, 316]], [[200, 99, 249, 160], [339, 282, 383, 325], [112, 164, 133, 193], [12, 157, 33, 185]], [[200, 99, 249, 160], [339, 282, 383, 325], [112, 164, 133, 193], [12, 157, 33, 185]], [[180, 136, 226, 192], [22, 154, 44, 184], [352, 287, 394, 330]], [[242, 229, 331, 338]]]","{'nm0001710': [(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (9, 0), (10, 1), (11, 1)], 'nm0001455': [(2, 1)], 'nm0000098': [(12, 0), (13, 0), (15, 0)]}"
Rachel sits next to him.,245.979,247.08,tt0108778,tt0583459,1,1,247.53,245.53,2.0,friends_s01e01_seg02_clip_04,"[26, 27, 27, 27, 28, 28, 29, 29, 29, 30, 30, 31, 31, 32, 32, 32]","[[[242, 229, 331, 338]], [[260, 197, 352, 303]], [[260, 197, 352, 303]], [[260, 197, 352, 303]], [[285, 169, 373, 281]], [[285, 169, 373, 281]], [[286, 134, 374, 249], [586, 47, 628, 104]], [[286, 134, 374, 249], [586, 47, 628, 104]], [[286, 134, 374, 249], [586, 47, 628, 104]], [[260, 114, 348, 228], [581, 52, 624, 113]], [[260, 114, 348, 228], [581, 52, 624, 113]], [[252, 123, 336, 235], [580, 53, 624, 115]], [[252, 123, 336, 235], [580, 53, 624, 115]], [[256, 116, 343, 239], [575, 47, 624, 113]], [[256, 116, 343, 239], [575, 47, 624, 113]], [[256, 116, 343, 239], [575, 47, 624, 113]]]","{'nm0000098': [(0, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0)]}"
Monica beams and sidles back inside.,903.382,905.663,tt0108778,tt0583459,1,1,905.663,903.382,2.281,friends_s01e01_seg02_clip_19,"[53, 53, 54, 54, 55, 55, 56, 56, 57, 57, 58, 58, 59, 59, 59, 60]","[[[368, 181, 446, 287]], [[368, 181, 446, 287]], [[354, 171, 430, 280], [211, 128, 283, 231]], [[354, 171, 430, 280], [211, 128, 283, 231]], [[356, 178, 431, 284], [119, 118, 192, 241]], [[356, 178, 431, 284], [119, 118, 192, 241]], [[367, 189, 440, 294]], [[367, 189, 440, 294]], [[355, 179, 428, 284]], [[355, 179, 428, 284]], [[350, 178, 424, 284]], [[350, 178, 424, 284]], [[339, 174, 415, 278]], [[339, 174, 415, 278]], [[339, 174, 415, 278]], [[395, 97, 410, 128]]]","{'nm0001073': [(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0)]}"
She shuts the door behind her.,906.184,907.465,tt0108778,tt0583459,1,1,907.824,905.824,2.0,friends_s01e01_seg02_clip_19,"[60, 61, 61, 62, 62, 63, 63, 63, 64, 64, 65, 65, 66, 66, 66, 67]","[[[395, 97, 410, 128]], [[145, 106, 160, 127], [395, 94, 414, 130]], [[145, 106, 160, 127], [395, 94, 414, 130]], [[133, 107, 149, 127], [395, 96, 411, 130]], [[133, 107, 149, 127], [395, 96, 411, 130]], [[118, 109, 134, 130], [394, 97, 411, 129]], [[118, 109, 134, 130], [394, 97, 411, 129]], [[118, 109, 134, 130], [394, 97, 411, 129]], [[107, 112, 124, 134], [393, 98, 410, 130]], [[107, 112, 124, 134], [393, 98, 410, 130]], [[394, 97, 411, 129], [100, 112, 116, 134]], [[394, 97, 411, 129], [100, 112, 116, 134]], [[399, 93, 418, 129], [93, 111, 109, 133]], [[399, 93, 418, 129], [93, 111, 109, 133]], [[399, 93, 418, 129], [93, 111, 109, 133]], [[85, 110, 104, 135], [406, 91, 424, 127], [392, 156, 414, 188]]]",{}
Rachel smiles and stands.,1292.779,1294.199,tt0108778,tt0583459,1,1,1294.489,1292.489,2.0,friends_s01e01_seg02_clip_27,"[13, 13, 14, 14, 15, 15, 15, 16, 16, 17, 17, 17, 18, 18, 19, 19]","[[[304, 105, 398, 252]], [[304, 105, 398, 252]], [[303, 107, 399, 254]], [[303, 107, 399, 254]], [[307, 106, 402, 255]], [[307, 106, 402, 255]], [[307, 106, 402, 255]], [[306, 106, 402, 254]], [[306, 106, 402, 254]], [[307, 106, 402, 253]], [[307, 106, 402, 253]], [[307, 106, 402, 253]], [[458, 137, 487, 183], [132, 155, 168, 209]], [[458, 137, 487, 183], [132, 155, 168, 209]], [[127, 156, 164, 209], [458, 138, 486, 184]], [[127, 156, 164, 209], [458, 138, 486, 184]]]","{'nm0000098': [(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 1), (15, 1)], 'nm0001710': [(12, 1), (13, 1), (14, 0), (15, 0)]}"
She heads into her bedroom.,1297.945,1299.126,tt0108778,tt0583459,1,1,1299.536,1297.536,2.0,friends_s01e01_seg02_clip_27,"[29, 29, 30, 30, 30, 31, 31, 32, 32, 33, 33, 33, 34, 34, 35, 35]","[[[394, 114, 425, 162]], [[394, 114, 425, 162]], [], [], [], [], [], [[285, 103, 316, 158]], [[285, 103, 316, 158]], [[289, 114, 323, 167]], [[289, 114, 323, 167]], [[289, 114, 323, 167]], [[288, 124, 320, 182]], [[288, 124, 320, 182]], [], []]",{}
Marsha slumps off as Ross waves Carol into the exhibit.,164.381,167.64,tt0108778,tt0583647,1,2,167.64,164.381,3.259,friends_s01e02_seg02_clip_00,"[144, 145, 146, 146, 147, 148, 148, 149, 150, 151, 151, 152, 153, 153, 154, 155]","[[[340, 95, 430, 234], [109, 161, 186, 259]], [[340, 105, 434, 240], [109, 160, 187, 259]], [[368, 79, 466, 212], [110, 160, 188, 259]], [[368, 79, 466, 212], [110, 160, 188, 259]], [[7, 97, 43, 144], [115, 64, 157, 116], [343, 116, 383, 176]], [[174, 82, 218, 138], [138, 64, 179, 117]], [[174, 82, 218, 138], [138, 64, 179, 117]], [[186, 65, 227, 127]], [[221, 75, 261, 133], [420, 105, 458, 151]], [[290, 167, 361, 274], [191, 25, 240, 118]], [[290, 167, 361, 274], [191, 25, 240, 118]], [[222, 33, 266, 121]], [[284, 104, 376, 240]], [[284, 104, 376, 240]], [[313, 101, 405, 234]], [[348, 102, 439, 239]]]","{'nm0001710': [(0, 0), (1, 0), (2, 0), (3, 0), (5, 1), (6, 1), (7, 0), (8, 0), (12, 0), (13, 0), (14, 0), (15, 0)]}"
"He tries to adjust the caveman, and the arm falls off.",168.16,170.96,tt0108778,tt0583647,1,2,170.96,168.16,2.8,friends_s01e02_seg02_clip_00,"[156, 157, 158, 158, 159, 159, 160, 160, 161, 162, 162, 163, 163, 164, 165, 165]","[[[357, 115, 447, 246]], [[271, 118, 362, 245]], [[212, 141, 302, 254]], [[212, 141, 302, 254]], [[225, 152, 296, 255]], [[225, 152, 296, 255]], [[280, 116, 344, 241], [0, 121, 63, 239]], [[280, 116, 344, 241], [0, 121, 63, 239]], [[281, 120, 341, 236], [0, 126, 62, 240]], [[1, 130, 64, 242], [269, 141, 321, 248]], [[1, 130, 64, 242], [269, 141, 321, 248]], [[17, 136, 98, 241], [247, 179, 311, 255]], [[17, 136, 98, 241], [247, 179, 311, 255]], [[240, 67, 264, 103], [334, 84, 359, 114], [131, 75, 159, 111], [17, 106, 52, 152], [370, 45, 394, 74]], [[128, 74, 159, 111], [335, 85, 358, 113], [16, 107, 50, 152]], [[128, 74, 159, 111], [335, 85, 358, 113], [16, 107, 50, 152]]]","{'nm0001710': [(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (13, 0)]}"
He picks it up and uses it to wave at Carol.,171.68,174.06,tt0108778,tt0583647,1,2,174.06,171.68,2.38,friends_s01e02_seg02_clip_00,"[168, 168, 169, 169, 170, 170, 171, 171, 172, 172, 173, 173, 174, 174, 175, 175]","[[[126, 74, 157, 111], [335, 84, 358, 113]], [[126, 74, 157, 111], [335, 84, 358, 113]], [[126, 73, 157, 112], [497, 118, 513, 138], [334, 86, 356, 112], [608, 130, 625, 150]], [[126, 73, 157, 112], [497, 118, 513, 138], [334, 86, 356, 112], [608, 130, 625, 150]], [[125, 72, 155, 111], [497, 114, 513, 135], [333, 86, 355, 112], [608, 127, 625, 148]], [[125, 72, 155, 111], [497, 114, 513, 135], [333, 86, 355, 112], [608, 127, 625, 148]], [[493, 118, 509, 140], [122, 73, 152, 111], [331, 85, 354, 112], [14, 105, 51, 150], [379, 89, 399, 113]], [[493, 118, 509, 140], [122, 73, 152, 111], [331, 85, 354, 112], [14, 105, 51, 150], [379, 89, 399, 113]], [[121, 74, 150, 111], [498, 122, 516, 144], [328, 85, 352, 113], [243, 112, 267, 138], [10, 106, 48, 151]], [[121, 74, 150, 111], [498, 122, 516, 144], [328, 85, 352, 113], [243, 112, 267, 138], [10, 106, 48, 151]], [[236, 80, 263, 116], [118, 73, 147, 111], [325, 85, 349, 113], [501, 121, 518, 144]], [[236, 80, 263, 116], [118, 73, 147, 111], [325, 85, 349, 113], [501, 121, 518, 144]], [[249, 72, 276, 110], [116, 74, 146, 112], [324, 85, 347, 113], [498, 121, 514, 143], [304, 173, 331, 203]], [[249, 72, 276, 110], [116, 74, 146, 112], [324, 85, 347, 113], [498, 121, 514, 143], [304, 173, 331, 203]], [[246, 96, 273, 124], [115, 73, 146, 112], [323, 85, 346, 113], [8, 107, 41, 148]], [[246, 96, 273, 124], [115, 73, 146, 112], [323, 85, 346, 113], [8, 107, 41, 148]]]","{'nm0001710': [(12, 0), (13, 0)]}"
